Timer map              on rank  10 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  11 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  12 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  13 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  14 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  15 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  16 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  17 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  18 :     38 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  19 :     40 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  20 :     41 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  21 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  22 :     38 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  23 :     39 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  24 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  25 :     35 ms,      1 ms,      1 ms,      2 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  26 :     33 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  27 :     34 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  28 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  29 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  30 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  31 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  32 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  33 :     40 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  34 :     41 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  35 :     43 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  36 :     52 ms,      2 ms,      2 ms,      4 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  37 :     40 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  38 :     38 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  39 :     38 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  40 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  41 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  42 :     38 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  43 :     40 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  44 :     42 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  45 :     43 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  46 :     42 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  47 :     38 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  48 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  49 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  50 :     39 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  51 :     40 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  52 :     41 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  53 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  54 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  55 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  56 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  57 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  58 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  59 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  60 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  61 :     39 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  62 :     41 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  63 :     42 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  64 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  65 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  66 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  67 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  68 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  69 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  70 :     39 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  71 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer optical-flow     on rank   0 :   5932 ms,    593 ms,    525 ms,    647 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank   1 :   5568 ms,    556 ms,    184 ms,    653 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank   2 :   5977 ms,    597 ms,    548 ms,    652 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank   3 :   5859 ms,    585 ms,    519 ms,    647 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank   4 :   5597 ms,    559 ms,    185 ms,    652 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank   5 :   5966 ms,    596 ms,    514 ms,    652 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank   6 :   5585 ms,    558 ms,    184 ms,    659 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank   7 :   6203 ms,    620 ms,    583 ms,    662 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank   8 :   4374 ms,    437 ms,    136 ms,    632 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank   9 :   5731 ms,    573 ms,    519 ms,    652 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  10 :   6001 ms,    600 ms,    570 ms,    650 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  11 :   6113 ms,    611 ms,    569 ms,    657 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  12 :   6155 ms,    615 ms,    572 ms,    660 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  13 :   6095 ms,    609 ms,    559 ms,    650 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  14 :   5774 ms,    577 ms,    317 ms,    630 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  15 :   5346 ms,    534 ms,    304 ms,    616 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  16 :   5777 ms,    577 ms,    395 ms,    626 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  17 :   5729 ms,    572 ms,    382 ms,    623 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  18 :   5777 ms,    577 ms,    494 ms,    652 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  19 :   5781 ms,    578 ms,    489 ms,    652 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  20 :   5476 ms,    547 ms,    216 ms,    659 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  21 :   4510 ms,    451 ms,    161 ms,    644 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  22 :   5021 ms,    502 ms,    158 ms,    655 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  23 :   5520 ms,    552 ms,    232 ms,    648 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  24 :   3964 ms,    396 ms,    139 ms,    583 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  25 :   4051 ms,    405 ms,    128 ms,    585 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  26 :   4771 ms,    477 ms,    209 ms,    600 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  27 :   5287 ms,    528 ms,    212 ms,    628 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  28 :   5656 ms,    565 ms,    489 ms,    639 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  29 :   5822 ms,    582 ms,    498 ms,    657 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  30 :   5181 ms,    518 ms,    218 ms,    638 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  31 :   5735 ms,    573 ms,    502 ms,    650 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  32 :   5771 ms,    577 ms,    499 ms,    650 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  33 :   5426 ms,    542 ms,    212 ms,    637 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  34 :   5742 ms,    574 ms,    500 ms,    639 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  35 :   5412 ms,    541 ms,    463 ms,    606 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  36 :   5585 ms,    558 ms,    191 ms,    650 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  37 :   5946 ms,    594 ms,    516 ms,    633 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  38 :   4366 ms,    436 ms,    137 ms,    599 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  39 :   4713 ms,    471 ms,    187 ms,    598 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  40 :   5086 ms,    508 ms,    153 ms,    643 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  41 :   5636 ms,    563 ms,    385 ms,    647 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  42 :   5996 ms,    599 ms,    562 ms,    647 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  43 :   6090 ms,    609 ms,    571 ms,    642 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  44 :   6089 ms,    608 ms,    580 ms,    646 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  45 :   5973 ms,    597 ms,    505 ms,    644 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  46 :   5612 ms,    561 ms,    183 ms,    648 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  47 :   5628 ms,    562 ms,    253 ms,    643 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  48 :   5878 ms,    587 ms,    510 ms,    645 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  49 :   6114 ms,    611 ms,    567 ms,    647 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  50 :   6169 ms,    616 ms,    584 ms,    649 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  51 :   6172 ms,    617 ms,    578 ms,    646 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  52 :   6214 ms,    621 ms,    589 ms,    647 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  53 :   6198 ms,    619 ms,    585 ms,    646 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  54 :   4067 ms,    406 ms,    201 ms,    491 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  55 :   3936 ms,    393 ms,    140 ms,    492 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  56 :   4301 ms,    430 ms,    238 ms,    505 ms,  10 (total, mean, min, max, timings)
Timer optical-flow     on rank  57 :   4022 ms,    402 ms,    218 ms,    484 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  16 :      6 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  16 :     88 ms,      8 ms,      0 ms,     54 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  17 :      6 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  17 :    132 ms,     13 ms,      0 ms,     84 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  18 :      7 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
