Timer optical-flow     on rank  13 :  90441 ms,   1884 ms,   1131 ms,   2817 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  14 :  94059 ms,   1959 ms,   1351 ms,   2842 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  15 :  90588 ms,   1887 ms,   1056 ms,   2788 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  16 :  90104 ms,   1877 ms,   1199 ms,   2685 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  17 :  95272 ms,   1984 ms,   1452 ms,   2917 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  18 :  90504 ms,   1885 ms,   1078 ms,   2694 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  19 :  87862 ms,   1830 ms,    977 ms,   2699 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  20 :  94490 ms,   1968 ms,   1078 ms,   2796 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  21 :  90182 ms,   1878 ms,    995 ms,   2723 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  22 :  91330 ms,   1902 ms,    935 ms,   2701 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  23 :  95446 ms,   1988 ms,   1153 ms,   2750 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  24 :  94636 ms,   1971 ms,   1379 ms,   2729 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  25 :  93675 ms,   1951 ms,   1380 ms,   2699 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  26 :  92393 ms,   1924 ms,    910 ms,   2650 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  27 :  91490 ms,   1906 ms,   1162 ms,   2709 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  28 :  92659 ms,   1930 ms,    698 ms,   2694 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  29 :  91587 ms,   1908 ms,    691 ms,   2760 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  30 :  88361 ms,   1840 ms,    900 ms,   2698 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  31 :  88048 ms,   1834 ms,   1048 ms,   2592 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  32 :  91578 ms,   1907 ms,   1102 ms,   2771 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  33 :  93604 ms,   1950 ms,   1231 ms,   2755 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  34 :  90901 ms,   1893 ms,    948 ms,   2636 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  35 :  90970 ms,   1895 ms,    936 ms,   2792 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  36 :  98754 ms,   2057 ms,   1122 ms,   2992 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  37 :  97051 ms,   2021 ms,   1232 ms,   3161 ms,  48 (total, mean, min, max, timings)
